SK_ID_CURR	TARGET	NAME_CONTRACT_TYPE	CODE_GENDER	FLAG_OWN_CAR	FLAG_OWN_REALTY	CNT_CHILDREN	AMT_INCOME_TOTAL	AMT_CREDIT	AMT_ANNUITY	AMT_GOODS_PRICE	NAME_TYPE_SUITE	NAME_INCOME_TYPE	NAME_EDUCATION_TYPE	NAME_FAMILY_STATUS	NAME_HOUSING_TYPE	REGION_POPULATION_RELATIVE	DAYS_BIRTH	DAYS_EMPLOYED	DAYS_REGISTRATION	DAYS_ID_PUBLISH	OWN_CAR_AGE	FLAG_MOBIL	FLAG_EMP_PHONE	FLAG_WORK_PHONE	FLAG_CONT_MOBILE	FLAG_PHONE	FLAG_EMAIL	OCCUPATION_TYPE	CNT_FAM_MEMBERS	REGION_RATING_CLIENT	REGION_RATING_CLIENT_W_CITY	WEEKDAY_APPR_PROCESS_START	HOUR_APPR_PROCESS_START	REG_REGION_NOT_LIVE_REGION	REG_REGION_NOT_WORK_REGION	LIVE_REGION_NOT_WORK_REGION	REG_CITY_NOT_LIVE_CITY	REG_CITY_NOT_WORK_CITY	LIVE_CITY_NOT_WORK_CITY	ORGANIZATION_TYPE	EXT_SOURCE_1	EXT_SOURCE_2	EXT_SOURCE_3	APARTMENTS_AVG	BASEMENTAREA_AVG	YEARS_BEGINEXPLUATATION_AVG	YEARS_BUILD_AVG	COMMONAREA_AVG	ELEVATORS_AVG	ENTRANCES_AVG	FLOORSMAX_AVG	FLOORSMIN_AVG	LANDAREA_AVG	LIVINGAPARTMENTS_AVG	LIVINGAREA_AVG	NONLIVINGAPARTMENTS_AVG	NONLIVINGAREA_AVG	APARTMENTS_MODE	BASEMENTAREA_MODE	YEARS_BEGINEXPLUATATION_MODE	YEARS_BUILD_MODE	COMMONAREA_MODE	ELEVATORS_MODE	ENTRANCES_MODE	FLOORSMAX_MODE	FLOORSMIN_MODE	LANDAREA_MODE	LIVINGAPARTMENTS_MODE	LIVINGAREA_MODE	NONLIVINGAPARTMENTS_MODE	NONLIVINGAREA_MODE	APARTMENTS_MEDI	BASEMENTAREA_MEDI	YEARS_BEGINEXPLUATATION_MEDI	YEARS_BUILD_MEDI	COMMONAREA_MEDI	ELEVATORS_MEDI	ENTRANCES_MEDI	FLOORSMAX_MEDI	FLOORSMIN_MEDI	LANDAREA_MEDI	LIVINGAPARTMENTS_MEDI	LIVINGAREA_MEDI	NONLIVINGAPARTMENTS_MEDI	NONLIVINGAREA_MEDI	FONDKAPREMONT_MODE	HOUSETYPE_MODE	TOTALAREA_MODE	WALLSMATERIAL_MODE	EMERGENCYSTATE_MODE	OBS_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	DAYS_LAST_PHONE_CHANGE	FLAG_DOCUMENT_2	FLAG_DOCUMENT_3	FLAG_DOCUMENT_4	FLAG_DOCUMENT_5	FLAG_DOCUMENT_6	FLAG_DOCUMENT_7	FLAG_DOCUMENT_8	FLAG_DOCUMENT_9	FLAG_DOCUMENT_10	FLAG_DOCUMENT_11	FLAG_DOCUMENT_12	FLAG_DOCUMENT_13	FLAG_DOCUMENT_14	FLAG_DOCUMENT_15	FLAG_DOCUMENT_16	FLAG_DOCUMENT_17	FLAG_DOCUMENT_18	FLAG_DOCUMENT_19	FLAG_DOCUMENT_20	FLAG_DOCUMENT_21	AMT_REQ_CREDIT_BUREAU_HOUR	AMT_REQ_CREDIT_BUREAU_DAY	AMT_REQ_CREDIT_BUREAU_WEEK	AMT_REQ_CREDIT_BUREAU_MON	AMT_REQ_CREDIT_BUREAU_QRT	AMT_REQ_CREDIT_BUREAU_YEAR
229620	0	Cash loans	M	N	N	0	193500.0	305221.5	17649.0	252000.0	Unaccompanied	Pensioner	Secondary / secondary special	Married	House / apartment	0.006207	-20938	365243	-9791.0	-4221		1	0	0	1	1	0		2.0	2	2	MONDAY	11	0	0	0	0	0	0	XNA		0.5484392511445849	0.8095082892315094	0.0742	0.0114	0.9866	0.8164	0.0	0.08	0.069	0.3333	0.375	0.0422	0.0605	0.0486	0.0	0.0	0.0756	0.0119	0.9866	0.8236	0.0	0.0806	0.069	0.3333	0.375	0.0432	0.0661	0.0506	0.0	0.0	0.0749	0.0114	0.9866	0.8189	0.0	0.08	0.069	0.3333	0.375	0.043	0.0616	0.0495	0.0	0.0	reg oper account	block of flats	0.0591	Panel	No	3.0	1.0	3.0	1.0	-266.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	1.0
263416	0	Cash loans	M	Y	N	0	112500.0	808650.0	26086.5	675000.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.010556	-15506	-1593	-9514.0	-4746	12.0	1	1	1	1	0	0	Laborers	2.0	3	3	TUESDAY	16	0	0	0	0	0	0	Housing		0.5686185200613261	0.4329616670974407																																																0.0	0.0	0.0	0.0	-1904.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	1.0
128572	0	Cash loans	M	N	Y	2	135000.0	397881.0	15129.0	328500.0	Unaccompanied	Working	Higher education	Married	With parents	0.007273999999999998	-13945	-434	-2267.0	-4496		1	1	0	1	0	0	Laborers	4.0	2	2	MONDAY	18	0	0	0	0	0	0	Housing		0.5575364384654393		0.0948	0.0397	0.9747	0.6532	0.0517	0.0	0.069	0.1667	0.2083	0.0561	0.0773	0.0275	0.0	0.0006	0.0966	0.0412	0.9747	0.6668	0.0522	0.0	0.069	0.1667	0.2083	0.0573	0.0845	0.0287	0.0	0.0007	0.0958	0.0397	0.9747	0.6578	0.0521	0.0	0.069	0.1667	0.2083	0.057	0.0787	0.027999999999999997	0.0	0.0007	reg oper account	block of flats	0.0501	Stone, brick	No	0.0	0.0	0.0	0.0	-755.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
278900	1	Cash loans	F	N	Y	1	144000.0	545040.0	25537.5	450000.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.018634	-11188	-115	-9637.0	-173		1	1	1	1	0	0	Sales staff	3.0	2	2	SUNDAY	11	0	0	0	0	0	0	Self-employed	0.2148519690374392	0.3388558747049734		0.0371	0.0664	0.9871			0.0	0.1379	0.0833		0.0115		0.0406		0.0	0.0378	0.0689	0.9871			0.0	0.1379	0.0833		0.0118		0.0423		0.0	0.0375	0.0664	0.9871			0.0	0.1379	0.0833		0.0117		0.0413		0.0		block of flats	0.0344	Stone, brick	No	0.0	0.0	0.0	0.0	-318.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
352157	0	Cash loans	F	N	N	0	130500.0	720000.0	23796.0	720000.0	Unaccompanied	Pensioner	Secondary / secondary special	Married	House / apartment	0.026392	-22853	365243	-6490.0	-2778		1	0	0	1	0	0		2.0	2	2	WEDNESDAY	15	0	0	0	0	0	0	XNA		0.6526559240266887																																																	5.0	0.0	5.0	0.0	-6.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
443811	0	Cash loans	F	N	Y	0	81000.0	71955.0	7245.0	67500.0	Unaccompanied	Pensioner	Secondary / secondary special	Widow	House / apartment	0.007305	-21064	365243	-8882.0	-4497		1	0	0	1	1	0		1.0	3	3	MONDAY	7	0	0	0	0	0	0	XNA		0.3815069944380542	0.7076993447402619																																																2.0	0.0	2.0	0.0	-259.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0
308431	1	Cash loans	M	Y	Y	0	202500.0	1006920.0	45630.0	900000.0	Unaccompanied	Commercial associate	Secondary / secondary special	Single / not married	House / apartment	0.00963	-8316	-232	-7938.0	-926	12.0	1	1	0	1	0	0	Laborers	1.0	2	2	SUNDAY	15	0	0	0	0	0	0	Business Entity Type 3		0.055370662363636816	0.33285056416487313	0.133	0.1519	0.9796				0.2759	0.1667		0.121		0.1221			0.1355	0.1576	0.9796				0.2759	0.1667		0.1238		0.1272			0.1343	0.1519	0.9796				0.2759	0.1667		0.1231		0.1243				block of flats	0.1042	Stone, brick	No	0.0	0.0	0.0	0.0	-231.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0
194141	0	Cash loans	F	N	Y	0	135000.0	1575000.0	43443.0	1575000.0	Unaccompanied	Commercial associate	Higher education	Married	House / apartment	0.026392	-20406	-532	-10156.0	-3938		1	1	0	1	0	0		2.0	2	2	MONDAY	16	0	0	0	0	1	1	Construction		0.7102548584229239	0.816092360478441	0.068		0.9781			0.0	0.1379	0.1667				0.0645		0.0037	0.0693		0.9782			0.0	0.1379	0.1667				0.0672		0.0039	0.0687		0.9781			0.0	0.1379	0.1667				0.0656		0.0037		block of flats	0.0515	Stone, brick	No	0.0	0.0	0.0	0.0	-1607.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	5.0
156416	0	Revolving loans	F	N	Y	1	135000.0	180000.0	9000.0	180000.0	Unaccompanied	State servant	Secondary / secondary special	Married	House / apartment	0.025164	-14434	-2394	-8525.0	-4833		1	1	0	1	0	0	Medicine staff	3.0	2	2	MONDAY	11	0	0	0	0	0	0	Medicine	0.6757676821784586	0.7169716281361828	0.7309873696832169	0.1753	0.0	0.9881	0.8368	0.0392	0.16	0.1379	0.4167	0.4583	0.0726	0.1328	0.1726	0.0463	0.0737	0.1786	0.0	0.9881	0.8432	0.0396	0.1611	0.1379	0.4167	0.4583	0.0743	0.1451	0.1798	0.0467	0.0781	0.177	0.0	0.9881	0.8390000000000001	0.0395	0.16	0.1379	0.4167	0.4583	0.0739	0.1351	0.1757	0.0466	0.0753	not specified	block of flats	0.1732	Stone, brick	No	2.0	0.0	2.0	0.0	-436.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	3.0
417737	0	Cash loans	M	Y	N	2	360000.0	640080.0	31261.5	450000.0	Unaccompanied	Commercial associate	Secondary / secondary special	Married	With parents	0.02461	-18558	-3883	-1372.0	-2102	5.0	1	1	0	1	1	0	Managers	4.0	2	2	FRIDAY	12	0	0	0	1	1	0	Business Entity Type 3		0.5609053020192524	0.3723336657058204																																																8.0	1.0	8.0	0.0	-861.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	6.0
158629	0	Cash loans	F	N	N	0	157500.0	814041.0	23800.5	679500.0	Unaccompanied	Commercial associate	Secondary / secondary special	Single / not married	House / apartment	0.02461	-14145	-1756	-4416.0	-4429		1	1	0	1	0	0	Sales staff	1.0	2	2	SATURDAY	12	0	0	0	0	0	0	Self-employed	0.4549466061582108	0.6255553821144786	0.7490217048463391	0.0619	0.0808	0.9747	0.6532	0.0056	0.0	0.1379	0.125	0.1667	0.0452	0.0756	0.0343	0.0	0.0319	0.063	0.0838	0.9747	0.6668	0.0057	0.0	0.1379	0.125	0.1667	0.0462	0.0826	0.0357	0.0	0.0338	0.0625	0.0808	0.9747	0.6578	0.0056	0.0	0.1379	0.125	0.1667	0.046	0.077	0.0349	0.0	0.0326	reg oper account	block of flats	0.0392	Stone, brick	No	0.0	0.0	0.0	0.0	-1658.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	3.0	0.0	3.0
193387	0	Cash loans	F	N	Y	1	189000.0	298512.0	32278.5	270000.0	Family	Working	Higher education	Married	House / apartment	0.010032	-11430	-1348	-1422.0	-3096		1	1	0	1	0	0		3.0	2	2	SATURDAY	4	0	0	0	0	0	0	Business Entity Type 2	0.7296377921957911	0.594405809686534	0.7091891096653581	0.0082		0.9692				0.0345	0.0417				0.0099			0.0084		0.9692				0.0345	0.0417				0.0103			0.0083		0.9692				0.0345	0.0417				0.0101					0.0085	Stone, brick	No	3.0	0.0	3.0	0.0	-1158.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	2.0
126269	1	Cash loans	F	N	N	0	90000.0	450000.0	24543.0	450000.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.011657	-17696	-1337	-11836.0	-1163		1	1	0	1	0	0	Laborers	2.0	1	1	FRIDAY	12	0	0	0	0	0	0	Trade: type 3	0.31643925982789656	0.6969631541054145		0.0918	0.1	0.9801	0.728	0.0	0.0	0.2069	0.1667	0.2083	0.1042	0.0748	0.0876	0.0	0.1075	0.0935	0.1038	0.9801	0.7387	0.0	0.0	0.2069	0.1667	0.2083	0.1066	0.0817	0.0913	0.0	0.1138	0.0926	0.1	0.9801	0.7316	0.0	0.0	0.2069	0.1667	0.2083	0.1061	0.0761	0.0892	0.0	0.1097		block of flats	0.0923	Panel	No	0.0	0.0	0.0	0.0	-350.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
406402	0	Cash loans	F	Y	Y	0	135000.0	280170.0	30303.0	247500.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.030755	-16269	-1464	-2077.0	-4203	5.0	1	1	0	1	0	0	Managers	2.0	2	2	SATURDAY	10	0	0	0	0	0	0	Trade: type 7	0.6043360830911989	0.6196516931786268	0.7062051096536562																																																1.0	1.0	1.0	1.0	-2635.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	7.0
405742	0	Cash loans	F	N	Y	0	207000.0	738567.0	28746.0	616500.0	Unaccompanied	State servant	Lower secondary	Single / not married	House / apartment	0.00702	-13796	-970	-4643.0	-5017		1	1	0	1	0	0	Security staff	1.0	2	2	THURSDAY	17	0	0	0	0	0	0	Government	0.3084488965735613	0.31307033301617954	0.3672910183026313																																																11.0	0.0	11.0	0.0	-2060.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	2.0
384261	1	Cash loans	M	Y	Y	0	225000.0	646776.0	47065.5	585000.0	Unaccompanied	Working	Secondary / secondary special	Married	With parents	0.04622	-14740	-1439	-37.0	-5503	14.0	1	1	1	1	0	0	Drivers	2.0	1	1	THURSDAY	15	0	1	1	0	1	1	Transport: type 4		0.4881026979401473	0.25670557243930026																																																0.0	0.0	0.0	0.0	-796.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	1.0	2.0
334521	0	Cash loans	F	N	N	2	157500.0	121500.0	13212.0	121500.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.00496	-9531	-645	-4282.0	-2218		1	1	0	1	0	0	Cooking staff	4.0	2	2	TUESDAY	13	0	0	0	0	0	0	Trade: type 7	0.358629101686452	0.558863072697854	0.5971924268337128	0.1198		0.9806			0.0264	0.2528	0.1942				0.1159		0.0054	0.125		0.9806			0.0	0.2759	0.1667				0.105		0.003	0.1223		0.9806			0.0	0.2759	0.1667				0.11		0.0056		block of flats	0.0874	Stone, brick	No	0.0	0.0	0.0	0.0	-910.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	3.0
352926	0	Cash loans	F	N	N	1	202500.0	463941.0	22450.5	400500.0	Unaccompanied	Pensioner	Higher education	Separated	House / apartment	0.04622	-20553	365243	-8119.0	-4094		1	0	0	1	1	0		2.0	1	1	WEDNESDAY	11	0	0	0	0	0	0	XNA		0.7251475929485565	0.6894791426446275	0.0763	0.0975	0.9846	0.7892			0.1724	0.1667		0.1019		0.0698			0.0777	0.1012	0.9846	0.7975			0.1724	0.1667		0.1043		0.0727			0.077	0.0975	0.9846	0.792			0.1724	0.1667		0.1037		0.0711				block of flats	0.0609	Stone, brick	No	0.0	0.0	0.0	0.0	-2582.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2.0	0.0
162676	0	Cash loans	F	N	Y	0	157500.0	873000.0	31059.0	873000.0	Unaccompanied	Commercial associate	Secondary / secondary special	Married	House / apartment	0.022625	-15032	-476	-2500.0	-4043		1	1	1	1	1	1	High skill tech staff	2.0	2	2	SATURDAY	17	0	0	0	0	0	0	Industry: type 9		0.7147253604657504																																																	5.0	0.0	5.0	0.0	-2288.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
276753	0	Cash loans	M	Y	N	0	81900.0	229500.0	11718.0	229500.0	Unaccompanied	Working	Higher education	Married	House / apartment	0.015221	-11869	-4197	-5099.0	-4345	2.0	1	1	1	1	1	0	Core staff	2.0	2	2	MONDAY	14	0	0	0	0	0	0	School	0.5784282105457786	0.0670922932945422	0.42765737003502935																																																3.0	0.0	3.0	0.0	-1558.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	3.0
